quay_code,monomodal_stop_id,stop_id_idfm,monomodal_code,stop_name,parent_station,stop_lat,stop_lon,zone_id,location_type,station_code
412844,monomodalStopPlace:47889,IDFM:412844,47889,Saint-Rémy-lès-Chevreuse,IDFM:62978,48.702732696472715,2.071385742904064,5,0,REM
474009,monomodalStopPlace:47889,IDFM:474009,47889,Saint-Rémy-lès-Chevreuse,IDFM:62978,48.702732696472715,2.071385742904064,5,0,REM
47894,monomodalStopPlace:47894,IDFM:47894,47894,Crécy-la-Chapelle,IDFM:68293,48.859557101380915,2.905450103333207,5,0,
472617,monomodalStopPlace:47894,IDFM:472617,47894,Crécy-la-Chapelle,IDFM:68293,48.859557101380915,2.905450103333207,5,0,
41069,monomodalStopPlace:47894,IDFM:41069,47894,Crécy-la-Chapelle,IDFM:68293,48.859557101380915,2.905450103333207,5,0,
471799,monomodalStopPlace:47895,IDFM:471799,47895,Boutigny,IDFM:59565,48.43442542513416,2.3767454804181263,5,0,BTG
41352,monomodalStopPlace:47895,IDFM:41352,47895,Boutigny,IDFM:59565,48.43442542513416,2.3767454804181263,5,0,BTG
472447,monomodalStopPlace:47895,IDFM:472447,47895,Boutigny,IDFM:59565,48.43442542513416,2.3767454804181263,5,0,BTG
47895,monomodalStopPlace:47895,IDFM:47895,47895,Boutigny,IDFM:59565,48.43442542513416,2.3767454804181263,5,0,BTG
47897,monomodalStopPlace:47897,IDFM:47897,47897,Cergy Saint-Christophe,IDFM:66858,49.049642166828754,2.0345219282999176,5,0,CHR
411368,monomodalStopPlace:47897,IDFM:411368,47897,Cergy Saint-Christophe,IDFM:66858,49.049642166828754,2.0345219282999176,5,0,CHR
470994,monomodalStopPlace:47897,IDFM:470994,47897,Cergy Saint-Christophe,IDFM:66858,49.049642166828754,2.0345219282999176,5,0,CHR
471703,monomodalStopPlace:47897,IDFM:471703,47897,Cergy Saint-Christophe,IDFM:66858,49.049642166828754,2.0345219282999176,5,0,CHR
470732,monomodalStopPlace:47898,IDFM:470732,47898,Ermont - Eaubonne,IDFM:65669,48.98049890628609,2.2707541014797794,4,0,ERM
471689,monomodalStopPlace:47898,IDFM:471689,47898,Ermont - Eaubonne,IDFM:65669,48.98049890628609,2.2707541014797794,4,0,ERM
470813,monomodalStopPlace:47898,IDFM:470813,47898,Ermont - Eaubonne,IDFM:65669,48.98049890628609,2.2707541014797794,4,0,ERM
472940,monomodalStopPlace:47898,IDFM:472940,47898,Ermont - Eaubonne,IDFM:65669,48.98049890628609,2.2707541014797794,4,0,ERM
472220,monomodalStopPlace:47898,IDFM:472220,47898,Ermont - Eaubonne,IDFM:65669,48.98049890628609,2.2707541014797794,4,0,ERM
47898,monomodalStopPlace:47898,IDFM:47898,47898,Ermont - Eaubonne,IDFM:65669,48.98049890628609,2.2707541014797794,4,0,ERM
471546,monomodalStopPlace:47898,IDFM:471546,47898,Ermont - Eaubonne,IDFM:65669,48.98049890628609,2.2707541014797794,4,0,ERM
471582,monomodalStopPlace:47898,IDFM:471582,47898,Ermont - Eaubonne,IDFM:65669,48.98049890628609,2.2707541014797794,4,0,ERM
41085,monomodalStopPlace:47898,IDFM:41085,47898,Ermont - Eaubonne,IDFM:65669,48.98049890628609,2.2707541014797794,4,0,ERM
471868,monomodalStopPlace:47898,IDFM:471868,47898,Ermont - Eaubonne,IDFM:65669,48.98049890628609,2.2707541014797794,4,0,ERM
471590,monomodalStopPlace:47899,IDFM:471590,47899,Mennecy,IDFM:59984,48.57054850948166,2.4319348900260658,5,0,MEN
471735,monomodalStopPlace:47899,IDFM:471735,47899,Mennecy,IDFM:59984,48.57054850948166,2.4319348900260658,5,0,MEN
41349,monomodalStopPlace:47899,IDFM:41349,47899,Mennecy,IDFM:59984,48.57054850948166,2.4319348900260658,5,0,MEN
47899,monomodalStopPlace:47899,IDFM:47899,47899,Mennecy,IDFM:59984,48.57054850948166,2.4319348900260658,5,0,MEN
470867,monomodalStopPlace:47900,IDFM:470867,47900,Val de Fontenay,IDFM:71718,48.85424654032024,2.4890536307751616,3,0,DEX
47900,monomodalStopPlace:47900,IDFM:47900,47900,Val de Fontenay,IDFM:71718,48.85424654032024,2.4890536307751616,3,0,DEX
474002,monomodalStopPlace:47900,IDFM:474002,47900,Val de Fontenay,IDFM:71718,48.85424654032024,2.4890536307751616,3,0,DEX
471698,monomodalStopPlace:47900,IDFM:471698,47900,Val de Fontenay,IDFM:71718,48.85424654032024,2.4890536307751616,3,0,DEX
41019,monomodalStopPlace:47900,IDFM:41019,47900,Val de Fontenay,IDFM:71718,48.85424654032024,2.4890536307751616,3,0,DEX
471194,monomodalStopPlace:47900,IDFM:471194,47900,Val de Fontenay,IDFM:71718,48.85424654032024,2.4890536307751616,3,0,DEX
474001,monomodalStopPlace:47900,IDFM:474001,47900,Val de Fontenay,IDFM:71718,48.85424654032024,2.4890536307751616,3,0,DEX
471654,monomodalStopPlace:47900,IDFM:471654,47900,Val de Fontenay,IDFM:71718,48.85424654032024,2.4890536307751616,3,0,DEX
41014,monomodalStopPlace:47901,IDFM:41014,47901,Le Raincy - Villemomble - Montfermeil,IDFM:73297,48.8888544132907,2.5130610056844116,4,0,RAI
471183,monomodalStopPlace:47903,IDFM:471183,47903,Garancières - La Queue,IDFM:64025,48.810463686279576,1.7645793224017485,5,0,
47903,monomodalStopPlace:47903,IDFM:47903,47903,Garancières - La Queue,IDFM:64025,48.810463686279576,1.7645793224017485,5,0,
41235,monomodalStopPlace:47903,IDFM:41235,47903,Garancières - La Queue,IDFM:64025,48.810463686279576,1.7645793224017485,5,0,
472146,monomodalStopPlace:47903,IDFM:472146,47903,Garancières - La Queue,IDFM:64025,48.810463686279576,1.7645793224017485,5,0,
479038,monomodalStopPlace:479035,IDFM:479038,479035,Paris-Bercy Bourgogne - Pays d'Auvergne,IDFM:71607,48.83858620193177,2.384209720351069,,0,
479035,monomodalStopPlace:479035,IDFM:479035,479035,Paris-Bercy Bourgogne - Pays d'Auvergne,IDFM:71607,48.83858620193177,2.384209720351069,,0,
41397,monomodalStopPlace:479035,IDFM:41397,479035,Paris-Bercy Bourgogne - Pays d'Auvergne,IDFM:71607,48.83858620193177,2.384209720351069,,0,
479039,monomodalStopPlace:479035,IDFM:479039,479035,Paris-Bercy Bourgogne - Pays d'Auvergne,IDFM:71607,48.83858620193177,2.384209720351069,,0,
479047,monomodalStopPlace:479035,IDFM:479047,479035,Paris-Bercy Bourgogne - Pays d'Auvergne,IDFM:71607,48.83858620193177,2.384209720351069,,0,
479034,monomodalStopPlace:479035,IDFM:479034,479035,Paris-Bercy Bourgogne - Pays d'Auvergne,IDFM:71607,48.83858620193177,2.384209720351069,,0,
479045,monomodalStopPlace:479035,IDFM:479045,479035,Paris-Bercy Bourgogne - Pays d'Auvergne,IDFM:71607,48.83858620193177,2.384209720351069,,0,
479048,monomodalStopPlace:479035,IDFM:479048,479035,Paris-Bercy Bourgogne - Pays d'Auvergne,IDFM:71607,48.83858620193177,2.384209720351069,,0,
471346,monomodalStopPlace:47904,IDFM:471346,47904,Villabé,IDFM:60124,48.592814943454,2.461533386360794,5,0,VLL
41356,monomodalStopPlace:47904,IDFM:41356,47904,Villabé,IDFM:60124,48.592814943454,2.461533386360794,5,0,VLL
470623,monomodalStopPlace:47904,IDFM:470623,47904,Villabé,IDFM:60124,48.592814943454,2.461533386360794,5,0,VLL
47904,monomodalStopPlace:47904,IDFM:47904,47904,Villabé,IDFM:60124,48.592814943454,2.461533386360794,5,0,VLL
47905,monomodalStopPlace:47905,IDFM:47905,47905,Bouray,IDFM:59830,48.53290340283496,2.2900778137432436,5,0,RAY
472759,monomodalStopPlace:47905,IDFM:472759,47905,Bouray,IDFM:59830,48.53290340283496,2.2900778137432436,5,0,RAY
470716,monomodalStopPlace:47905,IDFM:470716,47905,Bouray,IDFM:59830,48.53290340283496,2.2900778137432436,5,0,RAY
480220,monomodalStopPlace:47905,IDFM:480220,47905,Bouray,IDFM:59830,48.53290340283496,2.2900778137432436,5,0,RAY
41302,monomodalStopPlace:47905,IDFM:41302,47905,Bouray,IDFM:59830,48.53290340283496,2.2900778137432436,5,0,RAY
472557,monomodalStopPlace:47906,IDFM:472557,47906,Évry - Courcouronnes,IDFM:60450,48.62588794663492,2.4300329095214526,5,0,EVR
41346,monomodalStopPlace:47906,IDFM:41346,47906,Évry - Courcouronnes,IDFM:60450,48.62588794663492,2.4300329095214526,5,0,EVR
47906,monomodalStopPlace:47906,IDFM:47906,47906,Évry - Courcouronnes,IDFM:60450,48.62588794663492,2.4300329095214526,5,0,EVR
472133,monomodalStopPlace:47906,IDFM:472133,47906,Évry - Courcouronnes,IDFM:60450,48.62588794663492,2.4300329095214526,5,0,EVR
472299,monomodalStopPlace:47907,IDFM:472299,47907,Pont de Rungis Aéroport d'Orly,IDFM:69677,48.74834625868034,2.373209854795934,4,0,POD
472867,monomodalStopPlace:47907,IDFM:472867,47907,Pont de Rungis Aéroport d'Orly,IDFM:69677,48.74834625868034,2.373209854795934,4,0,POD
41326,monomodalStopPlace:47907,IDFM:41326,47907,Pont de Rungis Aéroport d'Orly,IDFM:69677,48.74834625868034,2.373209854795934,4,0,POD
472171,monomodalStopPlace:47907,IDFM:472171,47907,Pont de Rungis Aéroport d'Orly,IDFM:69677,48.74834625868034,2.373209854795934,4,0,POD
480223,monomodalStopPlace:47907,IDFM:480223,47907,Pont de Rungis Aéroport d'Orly,IDFM:69677,48.74834625868034,2.373209854795934,4,0,POD
47907,monomodalStopPlace:47907,IDFM:47907,47907,Pont de Rungis Aéroport d'Orly,IDFM:69677,48.74834625868034,2.373209854795934,4,0,POD
472259,monomodalStopPlace:47915,IDFM:472259,47915,Achères Grand Cormier,IDFM:65190,48.95541092942684,2.0936529195192275,5,0,GRA
411358,monomodalStopPlace:47915,IDFM:411358,47915,Achères Grand Cormier,IDFM:65190,48.95541092942684,2.0936529195192275,5,0,GRA
471059,monomodalStopPlace:47916,IDFM:471059,47916,Andrésy,IDFM:65542,48.974620752632916,2.0486677678528,5,0,
41149,monomodalStopPlace:47916,IDFM:41149,47916,Andrésy,IDFM:65542,48.974620752632916,2.0486677678528,5,0,
472150,monomodalStopPlace:47916,IDFM:472150,47916,Andrésy,IDFM:65542,48.974620752632916,2.0486677678528,5,0,
47916,monomodalStopPlace:47916,IDFM:47916,47916,Andrésy,IDFM:65542,48.974620752632916,2.0486677678528,5,0,
47918,monomodalStopPlace:47918,IDFM:47918,47918,Auvers-sur-Oise,IDFM:67027,49.07034498316611,2.174916445478343,5,0,
472941,monomodalStopPlace:47918,IDFM:472941,47918,Auvers-sur-Oise,IDFM:67027,49.07034498316611,2.174916445478343,5,0,
470610,monomodalStopPlace:47918,IDFM:470610,47918,Auvers-sur-Oise,IDFM:67027,49.07034498316611,2.174916445478343,5,0,
41112,monomodalStopPlace:47918,IDFM:41112,47918,Auvers-sur-Oise,IDFM:67027,49.07034498316611,2.174916445478343,5,0,
41116,monomodalStopPlace:47920,IDFM:41116,47920,Ermont Halte,IDFM:65910,48.990533377371726,2.26320025038274,4,0,
472369,monomodalStopPlace:47920,IDFM:472369,47920,Ermont Halte,IDFM:65910,48.990533377371726,2.26320025038274,4,0,
470642,monomodalStopPlace:47920,IDFM:470642,47920,Ermont Halte,IDFM:65910,48.990533377371726,2.26320025038274,4,0,
47920,monomodalStopPlace:47920,IDFM:47920,47920,Ermont Halte,IDFM:65910,48.990533377371726,2.26320025038274,4,0,
47921,monomodalStopPlace:47921,IDFM:47921,47921,Orgerus - Béhoust,IDFM:64175,48.82662740630846,1.7030300359022215,5,0,
41236,monomodalStopPlace:47921,IDFM:41236,47921,Orgerus - Béhoust,IDFM:64175,48.82662740630846,1.7030300359022215,5,0,
471444,monomodalStopPlace:47921,IDFM:471444,47921,Orgerus - Béhoust,IDFM:64175,48.82662740630846,1.7030300359022215,5,0,
472406,monomodalStopPlace:47921,IDFM:472406,47921,Orgerus - Béhoust,IDFM:64175,48.82662740630846,1.7030300359022215,5,0,
470764,monomodalStopPlace:47922,IDFM:470764,47922,Us,IDFM:67131,49.09955483034093,1.9705444983242866,5,0,
471090,monomodalStopPlace:47922,IDFM:471090,47922,Us,IDFM:67131,49.09955483034093,1.9705444983242866,5,0,
41142,monomodalStopPlace:47922,IDFM:41142,47922,Us,IDFM:67131,49.09955483034093,1.9705444983242866,5,0,
47922,monomodalStopPlace:47922,IDFM:47922,47922,Us,IDFM:67131,49.09955483034093,1.9705444983242866,5,0,
